,0
0,3.1625
1,0.6
2,0.6
3,0.8833333333333333
4,0.93125
5,0.99
6,0.975
7,1.0214285714285714
8,0.9625
9,1.0638888888888889
10,1.03
11,1.775
12,1.8125
13,1.7583333333333333
14,1.69375
15,1.72
16,1.6333333333333333
17,1.8035714285714286
18,1.79375
19,1.875
20,1.8975
21,1.675
22,1.8875
23,1.75
24,1.65625
25,1.65
26,1.7625
27,1.8178571428571428
28,1.728125
29,1.6777777777777778
30,1.5925
31,2.05
32,2.2375
33,2.2916666666666665
34,2.35625
35,2.26
36,2.245833333333333
37,2.375
38,2.278125
39,2.3444444444444446
40,2.3
41,2.4
42,3.0375
43,3.0833333333333335
44,3.075
45,3.19
46,3.225
47,3.257142857142857
48,3.228125
49,3.1944444444444446
50,3.1675
51,4.2
52,3.575
53,3.808333333333333
54,3.975
55,3.905
56,3.908333333333333
57,4.021428571428571
58,3.921875
59,3.9916666666666667
60,4.005
61,4.275
62,4.4875
63,4.416666666666667
64,4.4125
65,4.53
66,4.5
67,4.360714285714286
68,4.303125
69,4.372222222222222
70,4.39
71,5.175
72,4.7375
73,4.558333333333334
74,4.54375
75,4.625
76,4.5
77,4.457142857142857
78,4.3625
79,4.486111111111111
80,4.5
81,4.475
82,4.9125
83,4.808333333333334
84,4.675
85,4.755
86,4.791666666666667
87,4.675
88,4.528125
89,4.555555555555555
90,4.5
91,4.6
92,4.5875
93,4.491666666666666
94,4.6125
95,4.375
96,4.354166666666667
97,4.396428571428571
98,4.325
99,4.377777777777778
100,4.4225
101,5.35
102,4.95
103,4.833333333333333
104,4.74375
105,4.68
106,4.733333333333333
107,4.785714285714286
108,4.790625
109,4.725
110,4.69
111,4.375
112,4.3375
113,4.375
114,4.0875
115,4.045
116,3.933333333333333
117,4.067857142857143
118,4.13125
119,4.238888888888889
120,4.2225
121,5.225
122,5.2
123,4.991666666666666
124,4.85
125,4.87
126,4.795833333333333
127,4.767857142857143
128,4.70625
129,4.7972222222222225
130,4.7775
131,3.75
132,4.1625
133,4.308333333333334
134,4.525
135,4.445
136,4.370833333333334
137,4.325
138,4.284375
139,4.211111111111111
140,4.2725
141,3.8
142,4.075
143,4.283333333333333
144,4.325
145,4.51
146,4.483333333333333
147,4.460714285714285
148,4.43125
149,4.4527777777777775
150,4.3525
151,3.45
152,3.85
153,3.7
154,3.69375
155,3.63
156,3.591666666666667
157,3.6285714285714286
158,3.63125
159,3.686111111111111
160,3.775
161,4.65
162,4.5375
163,4.566666666666666
164,4.5625
165,4.315
166,4.233333333333333
167,4.196428571428571
168,4.059375
169,4.1305555555555555
170,4.105
171,3.05
172,3.8625
173,4.008333333333334
174,4.075
175,4.15
176,4.0875
177,4.121428571428571
178,4.075
179,3.9916666666666667
180,4.0425
181,4.45
182,4.1125
183,4.183333333333334
184,4.2875
185,4.205
186,4.2375
187,4.1535714285714285
188,4.06875
189,4.066666666666666
190,4.045
191,4.35
192,3.975
193,4.441666666666666
194,4.13125
195,4.03
196,4.129166666666666
197,4.1571428571428575
198,4.053125
199,3.988888888888889
200,4.0325
201,4.175
202,4.0625
203,3.8916666666666666
204,3.99375
205,3.955
206,4.0875
207,4.035714285714286
208,4.084375
209,4.0777777777777775
210,4.005
211,3.65
212,4.3125
213,4.208333333333333
214,4.23125
215,4.13
216,4.1875
217,4.203571428571428
218,4.178125
219,4.136111111111111
220,4.1175
221,3.975
222,4.1125
223,4.266666666666667
224,4.25625
225,4.185
226,4.066666666666666
227,3.95
228,3.95
229,3.9722222222222223
230,4.0275
231,3.975
232,3.8875
233,3.6666666666666665
234,3.71875
235,3.805
236,3.816666666666667
237,3.8392857142857144
238,3.946875
239,3.977777777777778
240,3.99
241,4.85
242,4.675
243,4.591666666666667
244,4.51875
245,4.29
246,4.1
247,4.007142857142857
248,3.959375
249,3.986111111111111
250,3.9925
251,4.425
252,3.9
253,3.65
254,3.9125
255,3.945
256,4.095833333333333
257,4.132142857142857
258,4.165625
259,4.108333333333333
260,4.0775
261,4.55
262,4.4125
263,4.391666666666667
264,4.2875
265,4.24
266,4.283333333333333
267,4.267857142857143
268,4.240625
269,4.219444444444444
270,4.2125
271,4.3
272,4.2125
273,4.016666666666667
274,3.88125
275,4.175
276,4.175
277,4.178571428571429
278,4.21875
279,4.288888888888889
280,4.2325
281,3.4
282,3.425
283,3.6166666666666667
284,3.71875
285,3.81
286,3.8916666666666666
287,4.071428571428571
288,4.04375
289,3.9805555555555556
290,3.9375
291,4.375
292,4.225
293,3.808333333333333
294,3.94375
295,4.065
296,3.9791666666666665
297,4.007142857142857
298,3.95625
299,4.9
