,0
0,1.125
1,1.0125
2,0.8583333333333333
3,0.99375
4,1.035
5,1.025
6,0.8892857142857142
7,0.859375
8,0.8555555555555555
9,0.7875
10,1.575
11,1.25
12,1.2
13,1.18125
14,1.19
15,1.2708333333333333
16,1.2964285714285715
17,1.296875
18,1.2833333333333334
19,1.4025
20,2.1
21,1.7125
22,1.6583333333333334
23,1.6
24,1.445
25,1.5708333333333333
26,1.6285714285714286
27,1.6
28,1.5444444444444445
29,1.605
30,3.45
31,2.2
32,1.9
33,1.9125
34,1.945
35,1.8875
36,1.832142857142857
37,1.759375
38,1.7805555555555554
39,1.7375
40,1.15
41,1.725
42,1.8666666666666667
43,1.875
44,1.89
45,1.8625
46,1.7785714285714285
47,1.84375
48,1.9222222222222223
49,1.855
50,2.15
51,2.025
52,1.8583333333333334
53,1.9125
54,1.915
55,1.9625
56,1.8821428571428571
57,1.8375
58,1.9166666666666667
59,1.9325
60,2.2
61,2.4875
62,2.375
63,2.35625
64,2.415
65,2.2291666666666665
66,2.1285714285714286
67,2.0625
68,2.011111111111111
69,2.115
70,2.5
71,3.175
72,2.7916666666666665
73,2.85
74,2.72
75,2.675
76,2.5892857142857144
77,2.5875
78,2.6416666666666666
79,2.6675
80,2.3
81,2.5125
82,2.6416666666666666
83,2.7875
84,2.85
85,2.7916666666666665
86,2.9035714285714285
87,2.9125
88,2.9194444444444443
89,2.94
90,3.85
91,3.8125
92,3.8666666666666667
93,3.96875
94,3.905
95,3.9291666666666667
96,3.7785714285714285
97,3.771875
98,3.8694444444444445
99,3.99
100,4.0
101,4.2
102,4.541666666666667
103,4.41875
104,4.175
105,4.379166666666666
106,4.239285714285714
107,4.178125
108,4.180555555555555
109,4.1175
110,3.9
111,4.375
112,4.133333333333334
113,4.325
114,4.305
115,4.395833333333333
116,4.321428571428571
117,4.309375
118,4.372222222222222
119,4.4725
120,5.0
121,4.225
122,4.225
123,4.1375
124,4.215
125,4.15
126,4.103571428571429
127,4.190625
128,4.166666666666667
129,4.2375
130,4.8
131,4.45
132,4.483333333333333
133,4.41875
134,4.42
135,4.35
136,4.339285714285714
137,4.359375
138,4.397222222222222
139,4.45
140,4.15
141,4.0625
142,4.025
143,4.00625
144,3.895
145,4.166666666666667
146,4.310714285714286
147,4.2375
148,4.175
149,4.2575
150,4.3
151,4.1
152,4.383333333333334
153,4.24375
154,4.125
155,4.129166666666666
156,4.021428571428571
157,4.046875
158,4.063888888888889
159,4.02
160,4.2
161,4.45
162,4.283333333333333
163,4.40625
164,4.28
165,4.3
166,4.2821428571428575
167,4.234375
168,4.197222222222222
169,4.215
170,4.1
171,4.0125
172,4.025
173,4.125
174,4.05
175,4.1
176,4.175
177,4.146875
178,4.141666666666667
179,4.2075
180,3.95
181,3.6625
182,3.691666666666667
183,3.93125
184,3.91
185,3.8125
186,3.825
187,3.890625
188,3.8805555555555555
189,3.895
190,3.8
191,3.95
192,4.158333333333333
193,4.03125
194,4.085
195,4.108333333333333
196,4.021428571428571
197,3.990625
198,3.975
199,3.9875
200,4.175
201,3.6875
202,3.808333333333333
203,3.95
204,4.19
205,4.108333333333333
206,4.010714285714286
207,3.875
208,4.011111111111111
209,4.0025
210,3.025
211,3.5
212,3.5083333333333333
213,3.7125
214,3.87
215,3.75
216,3.767857142857143
217,3.696875
218,3.8
219,3.8125
220,3.225
221,3.9
222,4.266666666666667
223,4.2
224,4.205
225,4.1625
226,4.196428571428571
227,4.10625
228,4.083333333333333
229,3.9825
230,5.425
231,4.7375
232,4.458333333333333
233,4.25
234,4.23
235,4.141666666666667
236,4.017857142857143
237,4.00625
238,3.941666666666667
239,3.865
240,3.325
241,3.225
242,3.591666666666667
243,3.88125
244,3.895
245,3.8541666666666665
246,3.8107142857142855
247,3.784375
248,3.797222222222222
249,3.8425
250,4.15
251,4.1125
252,4.1
253,3.925
254,4.21
255,4.154166666666667
256,4.142857142857143
257,4.234375
258,4.194444444444445
259,4.1525
260,3.3
261,3.85
262,3.8
263,3.7
264,3.785
265,3.7958333333333334
266,3.65
267,3.690625
268,3.7583333333333333
269,3.7575
270,4.5
271,3.95
272,3.691666666666667
273,3.88125
274,3.81
275,3.9166666666666665
276,3.9285714285714284
277,3.984375
278,3.9944444444444445
279,3.9775
280,4.4
281,4.175
282,4.1
283,3.91875
284,3.905
285,3.6958333333333333
286,3.7214285714285715
287,3.75
288,3.6972222222222224
289,3.7025
290,3.975
291,4.0625
292,4.2
293,4.175
294,4.195
295,4.1375
296,4.121428571428571
297,4.0375
298,3.938888888888889
299,4.6
