,0
0,0.475
1,0.35
2,0.31666666666666665
3,0.3
4,0.315
5,0.2916666666666667
6,0.3821428571428571
7,0.40625
8,0.4111111111111111
9,0.405
10,1.4
11,1.6375
12,1.4
13,1.4875
14,1.55
15,1.4833333333333334
16,1.4214285714285715
17,1.38125
18,1.413888888888889
19,1.4
20,1.375
21,1.425
22,1.5916666666666666
23,1.76875
24,1.795
25,1.8
26,1.75
27,1.675
28,1.6555555555555554
29,1.5975
30,1.85
31,2.1125
32,1.8
33,1.775
34,1.875
35,1.8958333333333333
36,1.8821428571428571
37,1.94375
38,1.9638888888888888
39,2.02
40,1.975
41,2.0625
42,2.2333333333333334
43,2.2375
44,2.32
45,2.375
46,2.4178571428571427
47,2.50625
48,2.636111111111111
49,2.585
50,3.2
51,3.3125
52,3.3333333333333335
53,3.6375
54,3.665
55,3.620833333333333
56,3.5964285714285715
57,3.609375
58,3.588888888888889
59,3.61
60,4.325
61,4.6
62,4.283333333333333
63,4.4375
64,4.475
65,4.404166666666667
66,4.478571428571429
67,4.48125
68,4.469444444444444
69,4.485
70,4.55
71,5.2875
72,5.391666666666667
73,5.36875
74,5.245
75,4.995833333333334
76,5.010714285714286
77,5.10625
78,5.038888888888889
79,5.035
80,3.725
81,4.2
82,4.516666666666667
83,4.625
84,4.64
85,4.625
86,4.746428571428571
87,4.775
88,4.747222222222222
89,4.7475
90,4.525
91,4.6125
92,4.666666666666667
93,4.61875
94,4.45
95,4.433333333333334
96,4.328571428571428
97,4.43125
98,4.4527777777777775
99,4.4775
100,4.5
101,4.8625
102,4.55
103,4.41875
104,4.38
105,4.541666666666667
106,4.564285714285714
107,4.609375
108,4.683333333333334
109,4.6575
110,4.5
111,4.725
112,4.691666666666666
113,4.96875
114,4.705
115,4.654166666666667
116,4.692857142857143
117,4.659375
118,4.766666666666667
119,4.725
120,5.5
121,5.5125
122,4.9
123,4.79375
124,4.83
125,4.754166666666666
126,4.7785714285714285
127,4.825
128,4.933333333333334
129,4.8225
130,4.4
131,4.6
132,4.841666666666667
133,4.7625
134,4.565
135,4.545833333333333
136,4.578571428571428
137,4.675
138,4.65
139,4.665
140,5.225
141,5.2
142,4.8
143,4.85
144,4.75
145,4.695833333333334
146,4.617857142857143
147,4.771875
148,4.775
149,4.71
150,4.15
151,3.825
152,3.8916666666666666
153,3.88125
154,4.13
155,4.041666666666667
156,3.9785714285714286
157,4.0625
158,4.011111111111111
159,3.9775
160,3.975
161,3.7625
162,3.716666666666667
163,3.86875
164,3.86
165,3.975
166,4.039285714285715
167,4.078125
168,4.097222222222222
169,4.1775
170,4.5
171,4.525
172,4.083333333333333
173,4.2
174,4.05
175,4.116666666666666
176,4.021428571428571
177,4.028125
178,4.044444444444444
179,4.0475
180,3.225
181,3.725
182,3.775
183,3.73125
184,3.78
185,3.85
186,3.9892857142857143
187,4.109375
188,4.044444444444444
189,4.1
190,5.1
191,4.625
192,4.416666666666667
193,4.43125
194,4.45
195,4.25
196,4.2821428571428575
197,4.184375
198,4.127777777777778
199,4.1525
200,5.525
201,4.7875
202,4.3
203,4.075
204,3.92
205,3.816666666666667
206,3.775
207,3.73125
208,3.725
209,3.7025
210,4.725
211,4.35
212,4.2
213,4.28125
214,4.26
215,4.120833333333334
216,4.1535714285714285
217,4.2
218,4.141666666666667
219,4.15
220,4.675
221,4.4625
222,4.716666666666667
223,4.725
224,4.49
225,4.366666666666666
226,4.364285714285714
227,4.33125
228,4.388888888888889
229,4.2925
230,4.25
231,3.8625
232,4.183333333333334
233,4.13125
234,4.07
235,3.933333333333333
236,4.0285714285714285
237,4.09375
238,4.05
239,4.1075
240,4.125
241,4.175
242,4.291666666666667
243,4.25
244,4.11
245,4.020833333333333
246,4.089285714285714
247,4.08125
248,4.158333333333333
249,4.1325
250,4.625
251,4.7375
252,4.7
253,4.41875
254,4.34
255,4.254166666666666
256,4.385714285714286
257,4.484375
258,4.433333333333334
259,4.51
260,3.6
261,4.075
262,4.291666666666667
263,4.23125
264,4.33
265,4.358333333333333
266,4.382142857142857
267,4.35625
268,4.363888888888889
269,4.3525
270,3.5
271,3.3375
272,3.5833333333333335
273,3.74375
274,3.76
275,3.75
276,3.692857142857143
277,3.728125
278,3.7666666666666666
279,3.7275
280,3.725
281,3.7625
282,4.075
283,4.16875
284,4.24
285,4.354166666666667
286,4.210714285714285
287,4.171875
288,4.288888888888889
289,4.3175
290,4.6
291,4.65
292,4.55
293,4.56875
294,4.44
295,4.425
296,4.360714285714286
297,4.403125
298,4.347222222222222
299,4.7
